comment_id,video_id,author,updated_at,like_count,cleaned_text,roberta_label,roberta_confidence,sentiment_label,entities,keywords,topic_id,topic_keywords
e765989f4c297e83,6ebXffTl4do,@jamesomahoney2181,2026-06-22T01:24:09Z,420,Still gonna need those Trump Epstien Files,LABEL_1,0.7084792256355286,Neutral,"[{""text"": ""Trump Epstien Files"", ""label"": ""PERSON""}]","[""those"", ""files"", ""still"", ""need"", ""trump""]",-1,
48a4d5c562e2f01e,6ebXffTl4do,@9WhiteDrop1,2026-06-22T01:30:19Z,224,Told you Iran don't negotiate with terrorists,LABEL_0,0.5323290824890137,Anti,"[{""text"": ""Iran"", ""label"": ""GPE""}]","[""don negotiate"", ""iran don"", ""told you"", ""with terrorists"", ""terrorists""]",2,"the, to, you, of, iran"
e7f2665077fb07e4,6ebXffTl4do,@RoyceBenning,2026-06-22T01:18:39Z,190,284 deals later….,LABEL_1,0.8222659826278687,Neutral,"[{""text"": ""284"", ""label"": ""CARDINAL""}]","[""deals""]",-1,
d666f59bc6eb9ef6,6ebXffTl4do,@ZeroCoolXRP,2026-06-22T01:33:40Z,117,14 threats 9 wins 14 peace deals 3 ceasefires.. polymarket odds please,LABEL_1,0.7670543193817139,Neutral,"[{""text"": ""14"", ""label"": ""CARDINAL""}, {""text"": ""9"", ""label"": ""CARDINAL""}, {""text"": ""14"", ""label"": ""CARDINAL""}, {""text"": ""3"", ""label"": ""CARDINAL""}]","[""odds"", ""wins"", ""deals"", ""please"", ""threats""]",-1,
1c82685bc248500e,6ebXffTl4do,@WeWuzVikangsAndRomains,2026-06-22T01:18:06Z,103,How are yall still reporting this like this exact same thing hasn’t happened 40 times already. Remaining mainstream media watchers have to feel like they’re trapped in a loop.,LABEL_0,0.7936692833900452,Anti,"[{""text"": ""40"", ""label"": ""CARDINAL""}]","[""like"", ""like this"", ""trapped"", ""like they"", ""remaining""]",8,"the, is, and, to, of"
a685bb063f1b9201,6ebXffTl4do,@brianmcmanus6034,2026-06-22T01:26:57Z,80,"oh a CBS poll , you know what you can do with that",LABEL_1,0.7857393026351929,Neutral,"[{""text"": ""CBS"", ""label"": ""ORG""}]","[""you"", ""can do"", ""do with"", ""with that"", ""you know""]",-1,
48ed7f7dc3a9563a,6ebXffTl4do,@johnnytwotimez,2026-06-22T01:34:05Z,69,"But we already obliterated them, right? Fools",LABEL_0,0.727337658405304,Anti,"[{""text"": ""Fools"", ""label"": ""PERSON""}]","[""but we"", ""obliterated them"", ""fools"", ""obliterated"", ""right""]",1,"of, so, the, and, his"
2303302c841919e5,6ebXffTl4do,@jayr.617,2026-06-22T01:41:31Z,61,Groundhog Day,LABEL_1,0.7274965643882751,Neutral,"[{""text"": ""Groundhog Day"", ""label"": ""DATE""}]","[""groundhog day"", ""groundhog"", ""day""]",-1,
f1cecf9913c08118,6ebXffTl4do,@MrAweeze,2026-06-22T01:30:31Z,56,"He was right about literally ONE thing: I am very, *very* tired of ""winning"".",LABEL_0,0.7082856893539429,Anti,"[{""text"": ""ONE"", ""label"": ""CARDINAL""}]","[""very"", ""very very"", ""of winning"", ""tired of"", ""very tired""]",0,"he, trump, the, but, and"
da9cbe47b9028aba,6ebXffTl4do,@bshwin,2026-06-22T01:40:38Z,56,"He is mentally unwell, Congress really needs to step in now!",LABEL_0,0.8821167945861816,Anti,"[{""text"": ""Congress"", ""label"": ""ORG""}]","[""to step"", ""step"", ""congress"", ""needs to"", ""really""]",5,"the, and, of, is, to"
