cleaned_text,Vader,RoBERTa
not_want news google,0,-1
trump dumbest president american history terrible rollemodel america 's young people nothing violence stupidity lie,-1,-1
fareed know full well reason many objected jcpoa lifting sanction coupled sunset clause put iran world 's foremost sponsor terrorism legal funded path acquiring nuclear weapon pretend issue legitimized islamist regime disengenuous attempt lend credence embarrassment agreement outlived usefulness service no longer required,-1,-1
china 's xinjiang genocide million visited xinjiang not_a single photo trace genocide lying farted zenophobia still blatantly smeared china thousand palesteninians dying hand izrale gennozide farted zealot not_blow wind,-1,-1
jet pilot need precision,0,0
always best take thanks fareed,1,1
reminds high school freshman trying explain something,0,0
thomas freedman written extensively idea make sense usa work china certain capacity unquestionably two unrivaled superpower gain cooperation competition next several decade fareed confuse donald trump ’ feckless weak overall embarrassing visit beijing recently somehow connoting good instinct absolutely bizarre,1,-1
genocide regime native american overthrown,0,-1
american president not_learned `` shock awe '' not_win war large country,-1,-1
usa not_important chose trump president usa ruined like russia acknowlegle part europe japan not_other country world declining saved,1,-1
person limited knowledge narrow worldview u lose u regime waged war terror killing civilian girl pregnant woman iran wisely squeezing ball terror regime u prevailing,-1,-1
many get elected washington walk away wealthy bipartisan issue not_make right not_trust,1,0
fareed ignoring elephant room scared losing job,-1,-1
henry kissinger war criminal fareed please not_eulogize like second coming christ,-1,-1
not_be naive stink trump take full generation year wash not_until child child gone buried country recover,-1,-1
iran start destroying power plant around middle east decide “ finish job ” u escalate not_stop iran u no choose try completely destroy iran ’ infrastructure without boot ground stuck fighting year new forever war iran global energy crisis trump want,-1,-1
trump thought iran sheep ewe iran wolf wolf,0,0
every action reaction anything made man flaw war adversary voice war fought man 's ambition never exceed worth president dealing adversary history geography favor iran also assistance china russia trump still not_even questioned trump 's ignorance arrogance united state debacle currently people like disgusted merchant mariner like help trump clean mess,-1,-1
every thursday trump announces new peace plan fall apart soon market close friday evening blatant market manipulation .. follow money trump crowd playing poker people 's life,1,-1
trump visit iran cemented reality china powerful economic superpower world america military superpower decline ..,1,0
something must know american nato one perhaps american neglect not_and mark end american reign made king ance crowned king,-1,0
problem uyghur genocide xinjiang quite simple no genocide criminal punished regareless ethnicity radical teaching banned no genocide sense term,-1,-1
fareed `` yeah genocide ubiquitous surveillance bad .. '' scary,-1,-1
